"date","item","value","year","ytd_avg","ma_6day"
1967-07-01,"pce",506.7,1967,506.7,NA
1967-08-01,"pce",509.8,1967,508.25,NA
1967-09-01,"pce",515.6,1967,510.7,NA
1967-10-01,"pce",512.2,1967,511.075,NA
1967-11-01,"pce",517.4,1967,512.34,NA
1967-12-01,"pce",525.1,1967,514.466666666667,514.466666666667
1968-01-01,"pce",530.9,1968,530.9,518.5
1968-02-01,"pce",533.6,1968,532.25,522.466666666667
1968-03-01,"pce",544.3,1968,536.266666666667,527.25
1968-04-01,"pce",544,1968,538.2,532.55
1968-05-01,"pce",549.8,1968,540.52,537.95
1968-06-01,"pce",556.3,1968,543.15,543.15
1968-07-01,"pce",563.2,1968,546.014285714286,548.533333333333
1968-08-01,"pce",567,1968,548.6375,554.1
1968-09-01,"pce",568.2,1968,550.811111111111,558.083333333333
1968-10-01,"pce",571.6,1968,552.89,562.683333333333
1968-11-01,"pce",576.7,1968,555.054545454546,567.166666666667
1968-12-01,"pce",576.5,1968,556.841666666667,570.533333333333
1969-01-01,"pce",583.5,1969,583.5,573.916666666667
1969-02-01,"pce",588.7,1969,586.1,577.533333333333
1969-03-01,"pce",588.9,1969,587.033333333333,580.983333333333
1969-04-01,"pce",593.9,1969,588.75,584.7
1969-05-01,"pce",600.3,1969,591.06,588.633333333333
1969-06-01,"pce",600.9,1969,592.7,592.7
1969-07-01,"pce",602.7,1969,594.128571428571,595.9
1969-08-01,"pce",609.9,1969,596.1,599.433333333333
1969-09-01,"pce",613.2,1969,598,603.483333333333
1969-10-01,"pce",618.5,1969,600.05,607.583333333333
1969-11-01,"pce",620.5,1969,601.909090909091,610.95
1969-12-01,"pce",622.8,1969,603.65,614.6
1970-01-01,"pce",628.7,1970,628.7,618.933333333333
1970-02-01,"pce",634,1970,631.35,622.95
1970-03-01,"pce",632.3,1970,631.666666666667,626.133333333333
1970-04-01,"pce",636,1970,632.75,629.05
1970-05-01,"pce",642.4,1970,634.68,632.7
1970-06-01,"pce",646.3,1970,636.616666666667,636.616666666667
1970-07-01,"pce",648.5,1970,638.314285714286,639.916666666667
1970-08-01,"pce",652.9,1970,640.1375,643.066666666667
1970-09-01,"pce",659.1,1970,642.244444444444,647.533333333333
1970-10-01,"pce",658.3,1970,643.85,651.25
1970-11-01,"pce",656.6,1970,645.009090909091,653.616666666667
1970-12-01,"pce",665.6,1970,646.725,656.833333333333
1971-01-01,"pce",676.1,1971,676.1,661.433333333333
1971-02-01,"pce",679.4,1971,677.75,665.85
1971-03-01,"pce",682,1971,679.166666666667,669.666666666667
1971-04-01,"pce",688.8,1971,681.575,674.75
1971-05-01,"pce",691.1,1971,683.48,680.5
1971-06-01,"pce",699.8,1971,686.2,686.2
1971-07-01,"pce",698.9,1971,688.014285714286,690
1971-08-01,"pce",704.9,1971,690.125,694.25
1971-09-01,"pce",713,1971,692.666666666667,699.416666666667
1971-10-01,"pce",715.8,1971,694.98,703.916666666667
1971-11-01,"pce",720.9,1971,697.336363636364,708.883333333333
1971-12-01,"pce",728.4,1971,699.925,713.65
1972-01-01,"pce",731.5,1972,731.5,719.083333333333
1972-02-01,"pce",736.2,1972,733.85,724.3
1972-03-01,"pce",749.2,1972,738.966666666667,730.333333333333
1972-04-01,"pce",752.5,1972,742.35,736.45
1972-05-01,"pce",758,1972,745.48,742.633333333333
1972-06-01,"pce",761.6,1972,748.166666666667,748.166666666667
1972-07-01,"pce",769.9,1972,751.271428571428,754.566666666667
1972-08-01,"pce",776.3,1972,754.4,761.25
1972-09-01,"pce",781.1,1972,757.366666666667,766.566666666667
1972-10-01,"pce",794.9,1972,761.12,773.633333333333
1972-11-01,"pce",800.5,1972,764.7,780.716666666667
1972-12-01,"pce",806.1,1972,768.15,788.133333333333
1973-01-01,"pce",816.5,1973,816.5,795.9
1973-02-01,"pce",825.8,1973,821.15,804.15
1973-03-01,"pce",832.8,1973,825.033333333333,812.766666666667
1973-04-01,"pce",835.7,1973,827.7,819.566666666667
1973-05-01,"pce",841.6,1973,830.48,826.416666666667
1973-06-01,"pce",844.3,1973,832.783333333333,832.783333333333
1973-07-01,"pce",854.1,1973,835.828571428572,839.05
1973-08-01,"pce",853.3,1973,838.0125,843.633333333333
1973-09-01,"pce",869.2,1973,841.477777777778,849.7
1973-10-01,"pce",868.2,1973,844.15,855.116666666667
1973-11-01,"pce",876.9,1973,847.127272727273,861
1973-12-01,"pce",876.6,1973,849.583333333333,866.383333333333
1974-01-01,"pce",884.5,1974,884.5,871.45
1974-02-01,"pce",889.7,1974,887.1,877.516666666667
1974-03-01,"pce",901.4,1974,891.866666666667,882.883333333333
1974-04-01,"pce",910.8,1974,896.6,889.983333333333
1974-05-01,"pce",922.4,1974,901.76,897.566666666667
1974-06-01,"pce",928,1974,906.133333333333,906.133333333333
1974-07-01,"pce",937.9,1974,910.671428571428,915.033333333333
1974-08-01,"pce",954.8,1974,916.1875,925.883333333333
1974-09-01,"pce",955.1,1974,920.511111111111,934.833333333333
1974-10-01,"pce",959.2,1974,924.38,942.9
1974-11-01,"pce",956.2,1974,927.272727272727,948.533333333333
1974-12-01,"pce",961.8,1974,930.15,954.166666666667
1975-01-01,"pce",975.6,1975,975.6,960.45
1975-02-01,"pce",989.4,1975,982.5,966.216666666667
1975-03-01,"pce",990.6,1975,985.2,972.133333333333
1975-04-01,"pce",995,1975,987.65,978.1
1975-05-01,"pce",1018.9,1975,993.9,988.55
1975-06-01,"pce",1026.8,1975,999.383333333333,999.383333333333
1975-07-01,"pce",1039.8,1975,1005.15714285714,1010.08333333333
1975-08-01,"pce",1047,1975,1010.3875,1019.68333333333
1975-09-01,"pce",1054.8,1975,1015.32222222222,1030.38333333333
1975-10-01,"pce",1060.9,1975,1019.88,1041.36666666667
1975-11-01,"pce",1075.8,1975,1024.96363636364,1050.85
1975-12-01,"pce",1092.1,1975,1030.55833333333,1061.73333333333
1976-01-01,"pce",1107.1,1976,1107.1,1072.95
1976-02-01,"pce",1107.7,1976,1107.4,1083.06666666667
1976-03-01,"pce",1114.9,1976,1109.9,1093.08333333333
1976-04-01,"pce",1125.4,1976,1113.775,1103.83333333333
1976-05-01,"pce",1122.7,1976,1115.56,1111.65
1976-06-01,"pce",1140.5,1976,1119.71666666667,1119.71666666667
1976-07-01,"pce",1149.6,1976,1123.98571428571,1126.8
1976-08-01,"pce",1158,1976,1128.2375,1135.18333333333
1976-09-01,"pce",1168.8,1976,1132.74444444444,1144.16666666667
1976-10-01,"pce",1176.8,1976,1137.15,1152.73333333333
1976-11-01,"pce",1189,1976,1141.86363636364,1163.78333333333
1976-12-01,"pce",1211.5,1976,1147.66666666667,1175.61666666667
1977-01-01,"pce",1215,1977,1215,1186.51666666667
1977-02-01,"pce",1231.3,1977,1223.15,1198.73333333333
1977-03-01,"pce",1238.3,1977,1228.2,1210.31666666667
1977-04-01,"pce",1247.3,1977,1232.975,1222.06666666667
1977-05-01,"pce",1257.1,1977,1237.8,1233.41666666667
1977-06-01,"pce",1263.6,1977,1242.1,1242.1
1977-07-01,"pce",1280.5,1977,1247.58571428571,1253.01666666667
1977-08-01,"pce",1285.7,1977,1252.35,1262.08333333333
1977-09-01,"pce",1294.5,1977,1257.03333333333,1271.45
1977-10-01,"pce",1311.4,1977,1262.47,1282.13333333333
1977-11-01,"pce",1327,1977,1268.33636363636,1293.78333333333
1977-12-01,"pce",1336,1977,1273.975,1305.85
1978-01-01,"pce",1329.5,1978,1329.5,1314.01666666667
1978-02-01,"pce",1355.1,1978,1342.3,1325.58333333333
1978-03-01,"pce",1377.5,1978,1354.03333333333,1339.41666666667
1978-04-01,"pce",1396.4,1978,1364.625,1353.58333333333
1978-05-01,"pce",1412,1978,1374.1,1367.75
1978-06-01,"pce",1425.8,1978,1382.71666666667,1382.71666666667
1978-07-01,"pce",1426.8,1978,1389.01428571429,1398.93333333333
1978-08-01,"pce",1447,1978,1396.2625,1414.25
1978-09-01,"pce",1452.9,1978,1402.55555555556,1426.81666666667
1978-10-01,"pce",1466.9,1978,1408.99,1438.56666666667
1978-11-01,"pce",1480.6,1978,1415.5,1450
1978-12-01,"pce",1496.5,1978,1422.25,1461.78333333333
1979-01-01,"pce",1502.4,1979,1502.4,1474.38333333333
1979-02-01,"pce",1517.8,1979,1510.1,1486.18333333333
1979-03-01,"pce",1531.2,1979,1517.13333333333,1499.23333333333
1979-04-01,"pce",1538.4,1979,1522.45,1511.15
1979-05-01,"pce",1558.8,1979,1529.72,1524.18333333333
1979-06-01,"pce",1575.7,1979,1537.38333333333,1537.38333333333
1979-07-01,"pce",1586.1,1979,1544.34285714286,1551.33333333333
1979-08-01,"pce",1615.6,1979,1553.25,1567.63333333333
1979-09-01,"pce",1633.9,1979,1562.21111111111,1584.75
1979-10-01,"pce",1641.6,1979,1570.15,1601.95
1979-11-01,"pce",1657.3,1979,1578.07272727273,1618.36666666667
1979-12-01,"pce",1666.3,1979,1585.425,1633.46666666667
1980-01-01,"pce",1697.3,1980,1697.3,1652
1980-02-01,"pce",1701.4,1980,1699.35,1666.3
1980-03-01,"pce",1708.2,1980,1702.3,1678.68333333333
1980-04-01,"pce",1695.2,1980,1700.525,1687.61666666667
1980-05-01,"pce",1700.1,1980,1700.44,1694.75
1980-06-01,"pce",1718.8,1980,1703.5,1703.5
1980-07-01,"pce",1747.1,1980,1709.72857142857,1711.8
1980-08-01,"pce",1763.8,1980,1716.4875,1722.2
1980-09-01,"pce",1780.5,1980,1723.6,1734.25
1980-10-01,"pce",1817.1,1980,1732.95,1754.56666666667
1980-11-01,"pce",1826.8,1980,1741.48181818182,1775.68333333333
1980-12-01,"pce",1851.7,1980,1750.66666666667,1797.83333333333
1981-01-01,"pce",1870,1981,1870,1818.31666666667
1981-02-01,"pce",1884.2,1981,1877.1,1838.38333333333
1981-03-01,"pce",1902.9,1981,1885.7,1858.78333333333
1981-04-01,"pce",1904.4,1981,1890.375,1873.33333333333
1981-05-01,"pce",1913.8,1981,1895.06,1887.83333333333
1981-06-01,"pce",1934.5,1981,1901.63333333333,1901.63333333333
1981-07-01,"pce",1942.1,1981,1907.41428571429,1913.65
1981-08-01,"pce",1966.6,1981,1914.8125,1927.38333333333
1981-09-01,"pce",1965.5,1981,1920.44444444444,1937.81666666667
1981-10-01,"pce",1963.9,1981,1924.79,1947.73333333333
1981-11-01,"pce",1970.6,1981,1928.95454545455,1957.2
1981-12-01,"pce",1988.8,1981,1933.94166666667,1966.25
1982-01-01,"pce",1997.1,1982,1997.1,1975.41666666667
1982-02-01,"pce",2021.2,1982,2009.15,1984.51666666667
1982-03-01,"pce",2024.1,1982,2014.13333333333,1994.28333333333
1982-04-01,"pce",2026.3,1982,2017.175,2004.68333333333
1982-05-01,"pce",2044.5,1982,2022.64,2017
1982-06-01,"pce",2048.1,1982,2026.88333333333,2026.88333333333
1982-07-01,"pce",2072.2,1982,2033.35714285714,2039.4
1982-08-01,"pce",2080.1,1982,2039.2,2049.21666666667
1982-09-01,"pce",2104.6,1982,2046.46666666667,2062.63333333333
1982-10-01,"pce",2125.8,1982,2054.4,2079.21666666667
1982-11-01,"pce",2149.3,1982,2063.02727272727,2096.68333333333
1982-12-01,"pce",2161.6,1982,2071.24166666667,2115.6
1983-01-01,"pce",2174,1983,2174,2132.56666666667
1983-02-01,"pce",2177,1983,2175.5,2148.71666666667
1983-03-01,"pce",2202.8,1983,2184.6,2165.08333333333
1983-04-01,"pce",2226.4,1983,2195.05,2181.85
1983-05-01,"pce",2245.9,1983,2205.22,2197.95
1983-06-01,"pce",2276,1983,2217.01666666667,2217.01666666667
1983-07-01,"pce",2304.4,1983,2229.5,2238.75
1983-08-01,"pce",2320.4,1983,2240.8625,2262.65
1983-09-01,"pce",2334.9,1983,2251.31111111111,2284.66666666667
1983-10-01,"pce",2357.6,1983,2261.94,2306.53333333333
1983-11-01,"pce",2366.3,1983,2271.42727272727,2326.6
1983-12-01,"pce",2393.6,1983,2281.60833333333,2346.2
1984-01-01,"pce",2419.4,1984,2419.4,2365.36666666667
1984-02-01,"pce",2403.5,1984,2411.45,2379.21666666667
1984-03-01,"pce",2431.6,1984,2418.16666666667,2395.33333333333
1984-04-01,"pce",2457.5,1984,2428,2411.98333333333
1984-05-01,"pce",2474.5,1984,2437.3,2430.01666666667
1984-06-01,"pce",2495.6,1984,2447.01666666667,2447.01666666667
1984-07-01,"pce",2494.6,1984,2453.81428571429,2459.55
1984-08-01,"pce",2512.2,1984,2461.1125,2477.66666666667
1984-09-01,"pce",2533.8,1984,2469.18888888889,2494.7
1984-10-01,"pce",2531.3,1984,2475.4,2507
1984-11-01,"pce",2571.4,1984,2484.12727272727,2523.15
1984-12-01,"pce",2582.6,1984,2492.33333333333,2537.65
1985-01-01,"pce",2618.8,1985,2618.8,2558.35
1985-02-01,"pce",2640.8,1985,2629.8,2579.78333333333
1985-03-01,"pce",2648.5,1985,2636.03333333333,2598.9
1985-04-01,"pce",2659.5,1985,2641.9,2620.26666666667
1985-05-01,"pce",2696.4,1985,2652.8,2641.1
1985-06-01,"pce",2689.4,1985,2658.9,2658.9
1985-07-01,"pce",2715.7,1985,2667.01428571429,2675.05
1985-08-01,"pce",2752.1,1985,2677.65,2693.6
1985-09-01,"pce",2794.7,1985,2690.65555555556,2717.96666666667
1985-10-01,"pce",2755.8,1985,2697.17,2734.01666666667
1985-11-01,"pce",2771.1,1985,2703.89090909091,2746.46666666667
1985-12-01,"pce",2811.3,1985,2712.84166666667,2766.78333333333
1986-01-01,"pce",2827.1,1986,2827.1,2785.35
1986-02-01,"pce",2820.2,1986,2823.65,2796.7
1986-03-01,"pce",2823.6,1986,2823.63333333333,2801.51666666667
1986-04-01,"pce",2835.2,1986,2826.525,2814.75
1986-05-01,"pce",2857.5,1986,2832.72,2829.15
1986-06-01,"pce",2861.7,1986,2837.55,2837.55
1986-07-01,"pce",2881.2,1986,2843.78571428571,2846.56666666667
1986-08-01,"pce",2898.6,1986,2850.6375,2859.63333333333
1986-09-01,"pce",2971.8,1986,2864.1,2884.33333333333
1986-10-01,"pce",2932.9,1986,2870.98,2900.61666666667
1986-11-01,"pce",2928.4,1986,2876.2,2912.43333333333
1986-12-01,"pce",2997.1,1986,2886.275,2935
1987-01-01,"pce",2935.5,1987,2935.5,2944.05
1987-02-01,"pce",3001.7,1987,2968.6,2961.23333333333
1987-03-01,"pce",3013.3,1987,2983.5,2968.15
1987-04-01,"pce",3038.8,1987,2997.325,2985.8
1987-05-01,"pce",3048.4,1987,3007.54,3005.8
1987-06-01,"pce",3072.8,1987,3018.41666666667,3018.41666666667
1987-07-01,"pce",3094.7,1987,3029.31428571429,3044.95
1987-08-01,"pce",3130.8,1987,3042,3066.46666666667
1987-09-01,"pce",3126.5,1987,3051.38888888889,3085.33333333333
1987-10-01,"pce",3134.5,1987,3059.7,3101.28333333333
1987-11-01,"pce",3144.2,1987,3067.38181818182,3117.25
1987-12-01,"pce",3174.1,1987,3076.275,3134.13333333333
1988-01-01,"pce",3213.7,1988,3213.7,3153.96666666667
1988-02-01,"pce",3221.4,1988,3217.55,3169.06666666667
1988-03-01,"pce",3260.5,1988,3231.86666666667,3191.4
1988-04-01,"pce",3263,1988,3239.65,3212.81666666667
1988-05-01,"pce",3293.6,1988,3250.44,3237.71666666667
1988-06-01,"pce",3318.5,1988,3261.78333333333,3261.78333333333
1988-07-01,"pce",3342.7,1988,3273.34285714286,3283.28333333333
1988-08-01,"pce",3368,1988,3285.175,3307.71666666667
1988-09-01,"pce",3375,1988,3295.15555555556,3326.8
1988-10-01,"pce",3413.7,1988,3307.01,3351.91666666667
1988-11-01,"pce",3430.2,1988,3318.20909090909,3374.68333333333
1988-12-01,"pce",3459.7,1988,3330,3398.21666666667
1989-01-01,"pce",3483.7,1989,3483.7,3421.71666666667
1989-02-01,"pce",3488,1989,3485.85,3441.71666666667
1989-03-01,"pce",3498.8,1989,3490.16666666667,3462.35
1989-04-01,"pce",3543,1989,3503.375,3483.9
1989-05-01,"pce",3551.8,1989,3513.06,3504.16666666667
1989-06-01,"pce",3566.6,1989,3521.98333333333,3521.98333333333
1989-07-01,"pce",3585.7,1989,3531.08571428571,3538.98333333333
1989-08-01,"pce",3620.6,1989,3542.275,3561.08333333333
1989-09-01,"pce",3621.9,1989,3551.12222222222,3581.6
1989-10-01,"pce",3633.6,1989,3559.37,3596.7
1989-11-01,"pce",3643.3,1989,3567,3611.95
1989-12-01,"pce",3684.2,1989,3576.76666666667,3631.55
1990-01-01,"pce",3730.7,1990,3730.7,3655.71666666667
1990-02-01,"pce",3728.2,1990,3729.45,3673.65
1990-03-01,"pce",3754.9,1990,3737.93333333333,3695.81666666667
1990-04-01,"pce",3770,1990,3745.95,3718.55
1990-05-01,"pce",3775.8,1990,3751.92,3740.63333333333
1990-06-01,"pce",3804.5,1990,3760.68333333333,3760.68333333333
1990-07-01,"pce",3821.7,1990,3769.4,3775.85
1990-08-01,"pce",3848.3,1990,3779.2625,3795.86666666667
1990-09-01,"pce",3870.1,1990,3789.35555555556,3815.06666666667
1990-10-01,"pce",3870.6,1990,3797.48,3831.83333333333
1990-11-01,"pce",3871.9,1990,3804.24545454545,3847.85
1990-12-01,"pce",3861.3,1990,3809,3857.31666666667
1991-01-01,"pce",3841,1991,3841,3860.53333333333
1991-02-01,"pce",3866.7,1991,3853.85,3863.6
1991-03-01,"pce",3913,1991,3873.56666666667,3870.75
1991-04-01,"pce",3907.1,1991,3881.95,3876.83333333333
1991-05-01,"pce",3933.2,1991,3892.2,3887.05
1991-06-01,"pce",3940.5,1991,3900.25,3900.25
1991-07-01,"pce",3966,1991,3909.64285714286,3921.08333333333
1991-08-01,"pce",3969.1,1991,3917.075,3938.15
1991-09-01,"pce",3984.7,1991,3924.58888888889,3950.1
1991-10-01,"pce",3976,1991,3929.73,3961.58333333333
1991-11-01,"pce",4003.6,1991,3936.44545454545,3973.31666666667
1991-12-01,"pce",4020.5,1991,3943.45,3986.65
1992-01-01,"pce",4084.7,1992,4084.7,4006.43333333333
1992-02-01,"pce",4099.5,1992,4092.1,4028.16666666667
1992-03-01,"pce",4117,1992,4100.4,4050.21666666667
1992-04-01,"pce",4131.5,1992,4108.175,4076.13333333333
1992-05-01,"pce",4158.4,1992,4118.22,4101.93333333333
1992-06-01,"pce",4177.1,1992,4128.03333333333,4128.03333333333
1992-07-01,"pce",4204.8,1992,4139,4148.05
1992-08-01,"pce",4220.9,1992,4149.2375,4168.28333333333
1992-09-01,"pce",4255.3,1992,4161.02222222222,4191.33333333333
1992-10-01,"pce",4284.7,1992,4173.39,4216.86666666667
1992-11-01,"pce",4300.5,1992,4184.94545454545,4240.55
1992-12-01,"pce",4336.4,1992,4197.56666666667,4267.1
1993-01-01,"pce",4340.7,1993,4340.7,4289.75
1993-02-01,"pce",4355.3,1993,4348,4312.15
1993-03-01,"pce",4352.5,1993,4349.5,4328.35
1993-04-01,"pce",4393.4,1993,4360.475,4346.46666666667
1993-05-01,"pce",4422.4,1993,4372.86,4366.78333333333
1993-06-01,"pce",4440,1993,4384.05,4384.05
1993-07-01,"pce",4468.9,1993,4396.17142857143,4405.41666666667
1993-08-01,"pce",4481.1,1993,4406.7875,4426.38333333333
1993-09-01,"pce",4511.5,1993,4418.42222222222,4452.88333333333
1993-10-01,"pce",4532.8,1993,4429.86,4476.11666666667
1993-11-01,"pce",4554.1,1993,4441.15454545455,4498.06666666667
1993-12-01,"pce",4571.1,1993,4451.98333333333,4519.91666666667
1994-01-01,"pce",4585.1,1994,4585.1,4539.28333333333
1994-02-01,"pce",4632.6,1994,4608.85,4564.53333333333
1994-03-01,"pce",4646,1994,4621.23333333333,4586.95
1994-04-01,"pce",4671.1,1994,4633.7,4610
1994-05-01,"pce",4669.5,1994,4640.86,4629.23333333333
1994-06-01,"pce",4708.9,1994,4652.2,4652.2
1994-07-01,"pce",4720.6,1994,4661.97142857143,4674.78333333333
1994-08-01,"pce",4762.6,1994,4674.55,4696.45
1994-09-01,"pce",4775,1994,4685.71111111111,4717.95
1994-10-01,"pce",4812.9,1994,4698.43,4741.58333333333
1994-11-01,"pce",4825.6,1994,4709.99090909091,4767.6
1994-12-01,"pce",4841.6,1994,4720.95833333333,4789.71666666667
1995-01-01,"pce",4851.2,1995,4851.2,4811.48333333333
1995-02-01,"pce",4850.8,1995,4851,4826.18333333333
1995-03-01,"pce",4885.4,1995,4862.46666666667,4844.58333333333
1995-04-01,"pce",4890.2,1995,4869.4,4857.46666666667
1995-05-01,"pce",4933.1,1995,4882.14,4875.38333333333
1995-06-01,"pce",4977.5,1995,4898.03333333333,4898.03333333333
1995-07-01,"pce",4970.2,1995,4908.34285714286,4917.86666666667
1995-08-01,"pce",5005.3,1995,4920.4625,4943.61666666667
1995-09-01,"pce",5020.5,1995,4931.57777777778,4966.13333333333
